en
S,en,Ukraine,ru,Украина,ru,Україна
T,en,Orihove,ru,Орiхове,ua,Орiхове
T,en,Pavlivka,ru,Павлiвка,ua,Павлiвка
T,en,Petrikivka,ru,Петрикiвка,ua,Петрикiвка
T,en,Pis'mecheve,ru,Письмечеве,ua,Письмечеве
T,en,Privil'ne,ru,Привiльне,ua,Привiльне
T,en,Promin',ru,Промiнь,ua,Промiнь
T,en,Solone,ru,Солоне,ua,Солоне
T,en,Surs'ko-mihajlivka,ru,Сурсько-Михайлiвка,ua,Сурсько-Михайлiвка
T,en,Trituzne,ru,Тритузне,ua,Тритузне
T,en,CHervonij majak,ru,Червоний Маяк,ua,Червоний Маяк
T,en,Shiroke,ru,Широке,ua,Широке
T,en,Avdotivka,ru,Авдотiвка,ua,Авдотiвка
T,en,Andriyivka,ru,Андрiївка,ua,Андрiївка
T,en,Vishneve,ru,Вишневе,ua,Вишневе
T,en,Vodjane,ru,Водяне,ua,Водяне
T,en,Volodimirivka,ru,Володимирiвка,ua,Володимирiвка
T,en,Devladove,ru,Девладове,ua,Девладове
T,en,Zhovte,ru,Жовте,ua,Жовте
T,en,Zhovtneve,ru,Жовтневе,ua,Жовтневе
T,en,Zaporiz'ke,ru,Запорiзьке,ua,Запорiзьке
T,en,Kam'janka,ru,Кам'янка,ua,Кам'янка
T,en,Krinichuvate,ru,Криничувате,ua,Криничувате
T,en,Loshkarivka,ru,Лошкарiвка,ua,Лошкарiвка
T,en,Ljubimivka,ru,Любимiвка,ua,Любимiвка
T,en,Makorti,ru,Макорти,ua,Макорти
T,en,Mar'yivka,ru,Мар'ївка,ua,Мар'ївка
T,en,Mar'yivka-druga,ru,Мар'ївка-друга,ua,Мар'ївка-друга
T,en,Menzhinka,ru,Менжинка,ua,Менжинка
T,en,Mikolayivka,ru,Миколаївка,ua,Миколаївка
T,en,Novovasilivka,ru,Нововасилiвка,ua,Нововасилiвка
T,en,Novojulivka,ru,Новоюлiвка,ua,Новоюлiвка
T,en,Oleksiyivka,ru,Олексiївка,ua,Олексiївка
T,en,Oleksandro-bilivka,ru,Олександро-Бiлiвка,ua,Олександро-Бiлiвка
T,en,Ordo-vasilivka,ru,Ордо-Василiвка,ua,Ордо-Василiвка
T,en,Pershe travnja,ru,Перше Травня,ua,Перше Травня
T,en,Petrove,ru,Петрове,ua,Петрове
T,en,Sergiyivka,ru,Сергiївка,ua,Сергiївка
T,en,Sofiyivka,ru,Софiївка,ua,Софiївка
T,en,CHervonij JAr,ru,Червоний Яр,ua,Червоний Яр
T,en,Ternivka,ru,Тернiвка,ua,Тернiвка
T,en,Vivodove,ru,Виводове,ua,Виводове
T,en,Vischetarasivka,ru,Вищетарасiвка,ua,Вищетарасiвка
T,en,Volodimirivka,ru,Володимирiвка,ua,Володимирiвка
T,en,Dobra nadija,ru,Добра Надiя,ua,Добра Надiя
T,en,Dolins'ke,ru,Долинське,ua,Долинське
T,en,Zaporiz'ka balka,ru,Запорiзька Балка,ua,Запорiзька Балка
T,en,Zelenij gaj,ru,Зелений Гай,ua,Зелений Гай
T,en,Zorja,ru,Зоря,ua,Зоря
T,en,Illinka,ru,Iллiнка,ua,Iллiнка
T,en,Kislichuvate,ru,Кисличувате,ua,Кисличувате
T,en,Kitajgorodka,ru,Китайгородка,ua,Китайгородка
T,en,Kirove,ru,Кiрове,ua,Кiрове
T,en,Mirove,ru,Мирове,ua,Мирове
T,en,Mihajlivka,ru,Михайлiвка,ua,Михайлiвка
T,en,Nastasivka,ru,Настасiвка,ua,Настасiвка
T,en,Novokiyivka,ru,Новокиївка,ua,Новокиївка
T,en,Preobrazhenka,ru,Преображенка,ua,Преображенка
T,en,Semenivka,ru,Семенiвка,ua,Семенiвка
T,en,Sergiyivka,ru,Сергiївка,ua,Сергiївка
T,en,Tomakivka,ru,Томакiвка,ua,Томакiвка
T,en,Topila,ru,Топила,ua,Топила
T,en,CHumaki,ru,Чумаки,ua,Чумаки
T,en,Babajkivka,ru,Бабайкiвка,ua,Бабайкiвка
T,en,Dubove,ru,Дубове,ua,Дубове
T,en,Zalelija,ru,Залелiя,ua,Залелiя
T,en,Kitajgorod,ru,Китайгород,ua,Китайгород
T,en,Liskivka,ru,Лискiвка,ua,Лискiвка
T,en,Ljashkivka,ru,Ляшкiвка,ua,Ляшкiвка
T,en,Mihajlivka,ru,Михайлiвка,ua,Михайлiвка
T,en,Mogiliv,ru,Могилiв,ua,Могилiв
T,en,Molodizhne,ru,Молодiжне,ua,Молодiжне
T,en,Novopidkrjazh,ru,Новопiдкряж,ua,Новопiдкряж
T,en,Novostroyivka,ru,Новостроївка,ua,Новостроївка
T,en,Orlivka,ru,Орлiвка,ua,Орлiвка
T,en,Preobrazhenka,ru,Преображенка,ua,Преображенка
T,en,Protochi,ru,Проточi,ua,Проточi
T,en,Prjadivka,ru,Прядiвка,ua,Прядiвка
T,en,Rudka,ru,Рудка,ua,Рудка
T,en,Tsarichanka,ru,Царичанка,ua,Царичанка
T,en,Tsibul'kivka,ru,Цибулькiвка,ua,Цибулькiвка
T,en,Jur'yivka,ru,Юр'ївка,ua,Юр'ївка
T,en,Andriyivka,ru,Андрiївка,ua,Андрiївка
T,en,Vodjane,ru,Водяне,ua,Водяне
T,en,Dachne,ru,Дачне,ua,Дачне
T,en,Zaporizhzhja,ru,Запорiжжя,ua,Запорiжжя
T,en,Zelena balka,ru,Зелена Балка,ua,Зелена Балка
T,en,Ingulets',ru,Iнгулець,ua,Iнгулець
T,en,Karpivka,ru,Карпiвка,ua,Карпiвка
T,en,Mikolayivka,ru,Миколаївка,ua,Миколаївка
T,en,Miroljubivka,ru,Миролюбiвка,ua,Миролюбiвка
T,en,Novokurs'ke,ru,Новокурське,ua,Новокурське
T,en,Novolativka,ru,Новолатiвка,ua,Новолатiвка
T,en,Novomalinivka,ru,Новомалинiвка,ua,Новомалинiвка
T,en,Novoselivka,ru,Новоселiвка,ua,Новоселiвка
T,en,Oleksandrivka,ru,Олександрiвка,ua,Олександрiвка
T,en,Oleksandrija,ru,Олександрiя,ua,Олександрiя
T,en,Rozi ljuksemburg,ru,Рози Люксембург,ua,Рози Люксембург
T,en,Stepove,ru,Степове,ua,Степове
T,en,Tihij stav,ru,Тихий Став,ua,Тихий Став
T,en,CHapaevka,ru,Чапаєвка,ua,Чапаєвка
T,en,CHervone,ru,Червоне,ua,Червоне
T,en,Shestirnja,ru,Шестiрня,ua,Шестiрня
T,en,Shiroke,ru,Широке,ua,Широке
T,en,JAvdotivka,ru,Явдотiвка,ua,Явдотiвка
T,en,Varvarivka,ru,Варварiвка,ua,Варварiвка
T,en,Verbuvativka,ru,Вербуватiвка,ua,Вербуватiвка
T,en,Vodjane,ru,Водяне,ua,Водяне
T,en,Zhemchuzhne,ru,Жемчужне,ua,Жемчужне
T,en,Novov'jazivs'ke,ru,Новов'язiвське,ua,Новов'язiвське
T,en,Novogrigorivka,ru,Новогригорiвка,ua,Новогригорiвка
T,en,Novoivanivs'ke,ru,Новоiванiвське,ua,Новоiванiвське
T,en,Novochornoglazivs'ke,ru,Новочорноглазiвське,ua,Новочорноглазiвське
T,en,Oleksandrivka,ru,Олександрiвка,ua,Олександрiвка
T,en,Oleksiyivka,ru,Олексiївка,ua,Олексiївка
T,en,Preobrazhenka,ru,Преображенка,ua,Преображенка
T,en,Sergiyivka,ru,Сергiївка,ua,Сергiївка
T,en,CHaplinka,ru,Чаплинка,ua,Чаплинка
T,en,CHernjavschina,ru,Чернявщина,ua,Чернявщина
T,en,CHornoglazivka,ru,Чорноглазiвка,ua,Чорноглазiвка
T,en,Shandrivka,ru,Шандрiвка,ua,Шандрiвка
T,en,Jur'yivka,ru,Юр'ївка,ua,Юр'ївка
R,en,Donets'ka obl,ru,Донецька обл,ua,Донецька обл
T,en,Amvrosiyivka,ru,Амвросiївка,ua,Амвросiївка
T,en,Artemivka,ru,Артемiвка,ua,Артемiвка
T,en,Bilojarivka,ru,Бiлоярiвка,ua,Бiлоярiвка
T,en,Blagodatne,ru,Благодатне,ua,Благодатне
T,en,Vasilivka,ru,Василiвка,ua,Василiвка
T,en,Velike mishkove,ru,Велике Мiшкове,ua,Велике Мiшкове
T,en,Vojkovs'kij,ru,Войковський,ua,Войковський
T,en,Volodars'kogo,ru,Володарського,ua,Володарського
T,en,Grabs'ke,ru,Грабське,ua,Грабське
T,en,Grigorivka,ru,Григорiвка,ua,Григорiвка
T,en,Elizaveto-mikolayivka,ru,Єлизавето-Миколаївка,ua,Єлизавето-Миколаївка
T,en,Zelene,ru,Зелене,ua,Зелене
T,en,Karpovo-nadezhdinka,ru,Карпово-Надеждинка,ua,Карпово-Надеждинка
T,en,Klenivka,ru,Кленiвка,ua,Кленiвка
T,en,Kutejnikove,ru,Кутейникове,ua,Кутейникове
T,en,Lenins'ke,ru,Ленiнське,ua,Ленiнське
T,en,Lisiche,ru,Лисиче,ua,Лисиче
T,en,Metalist,ru,Металiст,ua,Металiст
T,en,Mnogopillja,ru,Многопiлля,ua,Многопiлля
T,en,Mokroelanchik,ru,Мокроєланчик,ua,Мокроєланчик
T,en,Nizhn'okrins'ke,ru,Нижньокринське,ua,Нижньокринське
T,en,Novoivanivka,ru,Новоiванiвка,ua,Новоiванiвка
T,en,Novoamvrosiyivs'ke,ru,Новоамвросiївське,ua,Новоамвросiївське
T,en,Oleksiyivs'ke,ru,Олексiївське,ua,Олексiївське
T,en,Petropavlivka,ru,Петропавлiвка,ua,Петропавлiвка
T,en,Rodniki,ru,Родники,ua,Родники
T,en,Stepano-krinka,ru,Степано-Кринка,ua,Степано-Кринка
T,en,Stepne,ru,Степне,ua,Степне
T,en,Uljanivs'ke,ru,Улянiвське,ua,Улянiвське
T,en,Uspenka,ru,Успенка,ua,Успенка
T,en,Artemivs'k,ru,Артемiвськ,ua,Артемiвськ
T,en,Artemevs'ke,ru,Артемевське,ua,Артемевське
T,en,Bahmuts'ke,ru,Бахмутське,ua,Бахмутське
T,en,Berestove,ru,Берестове,ua,Берестове
T,en,Vasjukivka,ru,Васюкiвка,ua,Васюкiвка
T,en,Verhn'okam'jans'ke,ru,Верхньокам'янське,ua,Верхньокам'янське
T,en,Volodimirivka,ru,Володимирiвка,ua,Володимирiвка
T,en,Dvorichchja,ru,Дворiччя,ua,Дворiччя
T,en,Dronivka,ru,Дронiвка,ua,Дронiвка
T,en,Zajtseve,ru,Зайцеве,ua,Зайцеве
T,en,Zvanivka,ru,Званiвка,ua,Званiвка
T,en,Kalinina,ru,Калiнiна,ua,Калiнiна
T,en,Kirove,ru,Кiрове,ua,Кiрове
T,en,Klischiyivka,ru,Клiщiївка,ua,Клiщiївка
T,en,Klinove,ru,Клинове,ua,Клинове
T,en,Kodema,ru,Кодема,ua,Кодема
T,en,Komuna,ru,Комуна,ua,Комуна
T,en,Krasne,ru,Красне,ua,Красне
T,en,Lugans'ke,ru,Луганське,ua,Луганське
T,en,Min'kivka,ru,Мiнькiвка,ua,Мiнькiвка
T,en,Nikiforivka,ru,Никифорiвка,ua,Никифорiвка
T,en,Novogrigorivka,ru,Новогригорiвка,ua,Новогригорiвка
T,en,Novolugans'ke,ru,Новолуганське,ua,Новолуганське
T,en,Opitne,ru,Опитне,ua,Опитне
T,en,Paraskoviyivka,ru,Парасковiївка,ua,Парасковiївка
T,en,Pereyizne,ru,Переїзне,ua,Переїзне
T,en,Pokrovs'ke,ru,Покровське,ua,Покровське
T,en,Rozdolivka,ru,Роздолiвка,ua,Роздолiвка
T,en,Riznikivka,ru,Рiзникiвка,ua,Рiзникiвка
T,en,Serebrjanka,ru,Серебрянка,ua,Серебрянка
T,en,Sivers'k,ru,Сiверськ,ua,Сiверськ
T,en,Sil',ru,Сiль,ua,Сiль
T,en,Soledar,ru,Соледар,ua,Соледар
T,en,CHasiv JAr,ru,Часiв Яр,ua,Часiв Яр
T,en,JAkovlivka,ru,Яковлiвка,ua,Яковлiвка
T,en,Andriyivka,ru,Андрiївка,ua,Андрiївка
T,en,Bogatir,ru,Богатир,ua,Богатир
T,en,Velika novosilka,ru,Велика Новосiлка,ua,Велика Новосiлка
T,en,Vesele,ru,Веселе,ua,Веселе
T,en,Voskresenka,ru,Воскресенка,ua,Воскресенка
T,en,Vrem'evka,ru,Врем'Евка,ua,Врем'Евка
T,en,Evgenivka,ru,Євгенiвка,ua,Євгенiвка
T,en,Zavitne bazhannja,ru,Завiтне Бажання,ua,Завiтне Бажання
T,en,Zelene pole,ru,Зелене Поле,ua,Зелене Поле
T,en,Zelenij gaj,ru,Зелений Гай,ua,Зелений Гай
T,en,Iskra,ru,Iскра,ua,Iскра
T,en,Karla marksa,ru,Карла Маркса,ua,Карла Маркса
T,en,Komar,ru,Комар,ua,Комар
T,en,Kostjantinopil',ru,Костянтинопiль,ua,Костянтинопiль
T,en,Krasna poljana,ru,Красна Поляна,ua,Красна Поляна
T,en,Neskuchne,ru,Нескучне,ua,Нескучне
T,en,Novij komar,ru,Новий Комар,ua,Новий Комар
T,en,Novomajors'ke,ru,Новомайорське,ua,Новомайорське
T,en,Novopetrikivka,ru,Новопетрикiвка,ua,Новопетрикiвка
T,en,Oktjabr,ru,Октябр,ua,Октябр
T,en,Oktjabrs'ke,ru,Октябрське,ua,Октябрське
T,en,Oleksiyivka,ru,Олексiївка,ua,Олексiївка
T,en,Petropavlivka,ru,Петропавлiвка,ua,Петропавлiвка
T,en,Piddubne,ru,Пiддубне,ua,Пiддубне
T,en,Privil'ne,ru,Привiльне,ua,Привiльне
T,en,Rozdol'ne,ru,Роздольне,ua,Роздольне
T,en,Rozliv,ru,Розлив,ua,Розлив
T,en,Staromajors'ke,ru,Старомайорське,ua,Старомайорське
T,en,Staromlinivka,ru,Старомлинiвка,ua,Старомлинiвка
T,en,Ulakli,ru,Улакли,ua,Улакли
T,en,Urozhajne,ru,Урожайне,ua,Урожайне
T,en,Shahtars'ke,ru,Шахтарське,ua,Шахтарське
T,en,Shevchenko,ru,Шевченко,ua,Шевченко
T,en,Anadol',ru,Анадоль,ua,Анадоль
T,en,Andriyivka,ru,Андрiївка,ua,Андрiївка
T,en,Blagodatne,ru,Благодатне,ua,Благодатне
T,en,Blizhne,ru,Ближнє,ua,Ближнє
T,en,Valer'JAnivka,ru,Валер'Янiвка,ua,Валер'Янiвка
T,en,Vil'ne,ru,Вiльне,ua,Вiльне
T,en,Volnovaha,ru,Волноваха,ua,Волноваха
T,en,Volodimirivka,ru,Володимирiвка,ua,Володимирiвка
T,en,Dmitrivka,ru,Дмитрiвка,ua,Дмитрiвка
T,en,Dokuchaevs'k,ru,Докучаєвськ,ua,Докучаєвськ
T,en,Dons'ke,ru,Донське,ua,Донське
T,en,Egorivka,ru,Єгорiвка,ua,Єгорiвка
T,en,Zachativka,ru,Зачатiвка,ua,Зачатiвка
T,en,Zlatoustivka,ru,Златоустiвка,ua,Златоустiвка
T,en,Ivanivka,ru,Iванiвка,ua,Iванiвка
T,en,Kalinine,ru,Калiнiне,ua,Калiнiне
T,en,Kirilivka,ru,Кирилiвка,ua,Кирилiвка
T,en,Kirovs'ke,ru,Кiровське,ua,Кiровське
T,en,Komsomol's'kij,ru,Комсомольський,ua,Комсомольський
T,en,Krasnivka,ru,Краснiвка,ua,Краснiвка
T,en,Ljubivka,ru,Любiвка,ua,Любiвка
T,en,Maksimivka,ru,Максимiвка,ua,Максимiвка
T,en,Mikolayivka,ru,Миколаївка,ua,Миколаївка
T,en,Mikil's'ke,ru,Микiльське,ua,Микiльське
T,en,Novoandriyivka,ru,Новоандрiївка,ua,Новоандрiївка
T,en,Novooleksiyivka,ru,Новоолексiївка,ua,Новоолексiївка
T,en,Novotroyits'ke,ru,Новотроїцьке,ua,Новотроїцьке
T,en,Oktjabrs'ke,ru,Октябрське,ua,Октябрське
T,en,Olenivka,ru,Оленiвка,ua,Оленiвка
T,en,Ol'ginka,ru,Ольгинка,ua,Ольгинка
T,en,Petrivs'ke,ru,Петрiвське,ua,Петрiвське
T,en,Privil'ne,ru,Привiльне,ua,Привiльне
T,en,Prohorivka,ru,Прохорiвка,ua,Прохорiвка
T,en,Ribins'ke,ru,Рибинське,ua,Рибинське
T,en,Rivnopil',ru,Рiвнопiль,ua,Рiвнопiль
T,en,Svobodne,ru,Свободне,ua,Свободне
T,en,Stepne,ru,Степне,ua,Степне
T,en,Hlibodarivka,ru,Хлiбодарiвка,ua,Хлiбодарiвка
T,en,JAsne,ru,Ясне,ua,Ясне
T,en,Bojove,ru,Бойове,ua,Бойове
T,en,Volodars'ke,ru,Володарське,ua,Володарське
T,en,Zhovtneve,ru,Жовтневе,ua,Жовтневе
T,en,Zorja,ru,Зоря,ua,Зоря
T,en,Zelenij JAr,ru,Зелений Яр,ua,Зелений Яр
T,en,Kal'chik,ru,Кальчик,ua,Кальчик
T,en,Kas'janivka,ru,Кас'янiвка,ua,Кас'янiвка
T,en,Kirilivka,ru,Кирилiвка,ua,Кирилiвка
T,en,Kremenivka,ru,Кременiвка,ua,Кременiвка
T,en,Kujbisheve,ru,Куйбишеве,ua,Куйбишеве
T,en,Lisne,ru,Лiсне,ua,Лiсне
T,en,Malinivka,ru,Малинiвка,ua,Малинiвка
T,en,Novogrigorivka,ru,Новогригорiвка,ua,Новогригорiвка
T,en,Novokrasnivka,ru,Новокраснiвка,ua,Новокраснiвка
T,en,Novojanisol',ru,Новоянисоль,ua,Новоянисоль
T,en,Respublika,ru,Республiка,ua,Республiка
T,en,Starchenkove,ru,Старченкове,ua,Старченкове
T,en,Topoline,ru,Тополине,ua,Тополине
T,en,Truzhenka,ru,Труженка,ua,Труженка
T,en,Fedorivka,ru,Федорiвка,ua,Федорiвка
T,en,Shevchenko,ru,Шевченко,ua,Шевченко
T,en,Gol'mivs'kij,ru,Гольмiвський,ua,Гольмiвський
T,en,Gorlivka,ru,Горлiвка,ua,Горлiвка
T,en,Zajtseve,ru,Зайцеве,ua,Зайцеве
T,en,Ozerjanivka,ru,Озерянiвка,ua,Озерянiвка
T,en,Pantelejmonivka,ru,Пантелеймонiвка,ua,Пантелеймонiвка
T,en,Debal'tseve,ru,Дебальцеве,ua,Дебальцеве
T,en,Mironivs'kij,ru,Миронiвський,ua,Миронiвський
T,en,Svitlodars'ke,ru,Свiтлодарське,ua,Свiтлодарське
T,en,Artemove,ru,Артемове,ua,Артемове
T,en,Dzerzhins'k,ru,Дзержинськ,ua,Дзержинськ
T,en,Druzhba,ru,Дружба,ua,Дружба
T,en,Kirove,ru,Кiрове,ua,Кiрове
T,en,Kurdjumivka,ru,Курдюмiвка,ua,Курдюмiвка
T,en,Lenins'ke,ru,Ленiнське,ua,Ленiнське
T,en,Nelipivka,ru,Нелiпiвка,ua,Нелiпiвка
T,en,Novgorods'ke,ru,Новгородське,ua,Новгородське
T,en,Petrivka,ru,Петрiвка,ua,Петрiвка
T,en,Suha balka,ru,Суха Балка,ua,Суха Балка
T,en,Scherbinivka,ru,Щербинiвка,ua,Щербинiвка
T,en,Bilits'ke,ru,Бiлицьке,ua,Бiлицьке
T,en,Bilozers'ke,ru,Бiлозерське,ua,Бiлозерське
T,en,Virovka,ru,Вiровка,ua,Вiровка
T,en,Vodjans'ke,ru,Водянське,ua,Водянське
T,en,Volodimirivka,ru,Володимирiвка,ua,Володимирiвка
T,en,Gannivka,ru,Ганнiвка,ua,Ганнiвка
T,en,Dobropillja,ru,Добропiлля,ua,Добропiлля
T,en,Dobropillja selo,ru,Добропiлля Село,ua,Добропiлля Село
T,en,Zolotij kolodjaz',ru,Золотий Колодязь,ua,Золотий Колодязь
T,en,Krivorizhzhja,ru,Криворiжжя,ua,Криворiжжя
T,en,Krasnojars'ke,ru,Красноярське,ua,Красноярське
T,en,Novij donbas,ru,Новий Донбас,ua,Новий Донбас
T,en,Novovodjane,ru,Нововодяне,ua,Нововодяне
T,en,Novodonets'ke,ru,Новодонецьке,ua,Новодонецьке
T,en,Novotorets'ke,ru,Новоторецьке,ua,Новоторецьке
T,en,Novotroyits'ke,ru,Новотроїцьке,ua,Новотроїцьке
T,en,Novofedorivka,ru,Новофедорiвка,ua,Новофедорiвка
T,en,Oktjabrs'ke,ru,Октябрське,ua,Октябрське
T,en,Rozi ljuksemburg,ru,Рози Люксембург,ua,Рози Люксембург
T,en,Svitle,ru,Свiтле,ua,Свiтле
T,en,Svjatogorivka,ru,Святогорiвка,ua,Святогорiвка
T,en,Shevchenko,ru,Шевченко,ua,Шевченко
T,en,Shilivka,ru,Шилiвка,ua,Шилiвка
T,en,Birjuki,ru,Бирюки,ua,Бирюки
T,en,Gorbachevo-mihajlivka,ru,Горбачево-Михайлiвка,ua,Горбачево-Михайлiвка
T,en,Donets'k,ru,Донецьк,ua,Донецьк
T,en,Larine,ru,Ларине,ua,Ларине
T,en,Mospine,ru,Моспине,ua,Моспине
T,en,Druzhkivka,ru,Дружкiвка,ua,Дружкiвка
T,en,Mikolajpillja,ru,Миколайпiлля,ua,Миколайпiлля
T,en,Novogrigorivka,ru,Новогригорiвка,ua,Новогригорiвка
T,en,Novomikolayiivka,ru,Новомиколаїiвка,ua,Новомиколаїiвка
T,en,Oleksievo-druzhkivka,ru,Олексiєво-Дружкiвка,ua,Олексiєво-Дружкiвка
T,en,Rajs'ke,ru,Райське,ua,Райське
T,en,Bulavins'ke,ru,Булавинське,ua,Булавинське
T,en,Vuglegirs'k,ru,Вуглегiрськ,ua,Вуглегiрськ
T,en,Druzhne,ru,Дружне,ua,Дружне
T,en,Enakieve,ru,Єнакiєве,ua,Єнакiєве
T,en,Kam'JAnka,ru,Кам'Янка,ua,Кам'Янка
T,en,Karlo-marksove,ru,Карло-Марксове,ua,Карло-Марксове
T,en,Korsun',ru,Корсунь,ua,Корсунь
T,en,Oleksandrivs'ke,ru,Олександрiвське,ua,Олександрiвське
T,en,Olenivka,ru,Оленiвка,ua,Оленiвка
T,en,Ol'hovatka,ru,Ольховатка,ua,Ольховатка
T,en,Savelivka,ru,Савелiвка,ua,Савелiвка
T,en,Staropetrivs'k,ru,Старопетрiвськ,ua,Старопетрiвськ
T,en,Schebenka,ru,Щебенка,ua,Щебенка
T,en,Junokomunarivs'k,ru,Юнокомунарiвськ,ua,Юнокомунарiвськ
T,en,Vil'hivka,ru,Вiльхiвка,ua,Вiльхiвка
T,en,Zhdanivka,ru,Жданiвка,ua,Жданiвка
T,en,Kirovs'ke,ru,Кiровське,ua,Кiровське
T,en,Artema,ru,Артема,ua,Артема
T,en,Artemivka,ru,Артемiвка,ua,Артемiвка
T,en,Bilokuz'minivka,ru,Бiлокузьминiвка,ua,Бiлокузьминiвка
T,en,Viroljubivka,ru,Вiролюбiвка,ua,Вiролюбiвка
T,en,Diliyivka,ru,Дилiївка,ua,Дилiївка
T,en,Zorja,ru,Зоря,ua,Зоря
T,en,Ivanopillja,ru,Iванопiлля,ua,Iванопiлля
T,en,Illicha,ru,Iллiча,ua,Iллiча
T,en,Kalinove,ru,Калинове,ua,Калинове
T,en,Katerinivka,ru,Катеринiвка,ua,Катеринiвка
T,en,Kindrativka,ru,Кiндратiвка,ua,Кiндратiвка
T,en,Kostjantinivka,ru,Костянтинiвка,ua,Костянтинiвка
T,en,Markove,ru,Маркове,ua,Маркове
T,en,Mikolayivka,ru,Миколаївка,ua,Миколаївка
T,en,Nova poltavka,ru,Нова Полтавка,ua,Нова Полтавка
T,en,Novodmitrivka,ru,Новодмитрiвка,ua,Новодмитрiвка
T,en,Novoolenivka,ru,Новооленiвка,ua,Новооленiвка
T,en,Oleksandro-kalinove,ru,Олександро-Калинове,ua,Олександро-Калинове
T,en,Oleksandropil',ru,Олександропiль,ua,Олександропiль
T,en,Pleschiyivka,ru,Плещiївка,ua,Плещiївка
T,en,Poltavka,ru,Полтавка,ua,Полтавка
T,en,Pravdivka,ru,Правдiвка,ua,Правдiвка
T,en,Predtechine,ru,Предтечине,ua,Предтечине
T,en,Rusin JAr,ru,Русин Яр,ua,Русин Яр
T,en,Stepanivka,ru,Степанiвка,ua,Степанiвка
T,en,Tarasivka,ru,Тарасiвка,ua,Тарасiвка
T,en,Tors'ke,ru,Торське,ua,Торське
T,en,JAblunivka,ru,Яблунiвка,ua,Яблунiвка
T,en,Bilen'ke,ru,Бiленьке,ua,Бiленьке
T,en,Kramators'k,ru,Краматорськ,ua,Краматорськ
T,en,Krasnotorka,ru,Красноторка,ua,Красноторка
T,en,Malotaranivka,ru,Малотаранiвка,ua,Малотаранiвка
T,en,Sofiyivka,ru,Софiївка,ua,Софiївка
T,en,Shabel'kivka,ru,Шабелькiвка,ua,Шабелькiвка
T,en,JAsna poljana,ru,Ясна Поляна,ua,Ясна Поляна
T,en,JAsnogirka,ru,Ясногiрка,ua,Ясногiрка
T,en,Grishine,ru,Гришине,ua,Гришине
T,en,Grodivka,ru,Гродiвка,ua,Гродiвка
T,en,Dimitrov,ru,Димитров,ua,Димитров
T,en,Ivanivka,ru,Iванiвка,ua,Iванiвка
T,en,Krasnij JAr,ru,Красний Яр,ua,Красний Яр
T,en,Krasne,ru,Красне,ua,Красне
T,en,Krasnoarmijs'k,ru,Красноармiйськ,ua,Красноармiйськ
T,en,Lisivka,ru,Лисiвка,ua,Лисiвка
T,en,Lozuvats'ke,ru,Лозуватське,ua,Лозуватське
T,en,Mikolayivka,ru,Миколаївка,ua,Миколаївка
T,en,Miroljubivka,ru,Миролюбiвка,ua,Миролюбiвка
T,en,Mihajlivka,ru,Михайлiвка,ua,Михайлiвка
T,en,Novoekonomichne,ru,Новоекономiчне,ua,Новоекономiчне
T,en,Novozhelanne,ru,Новожеланне,ua,Новожеланне
T,en,Novooleksandrivka,ru,Новоолександрiвка,ua,Новоолександрiвка
T,en,Novopavlivka,ru,Новопавлiвка,ua,Новопавлiвка
T,en,Novotroyits'ke,ru,Новотроїцьке,ua,Новотроїцьке
T,en,Novoelizavetivka,ru,Новоєлизаветiвка,ua,Новоєлизаветiвка
T,en,Petrivka,ru,Петрiвка,ua,Петрiвка
T,en,Pischane,ru,Пiщане,ua,Пiщане
T,en,Ptiche,ru,Птиче,ua,Птиче
T,en,Rodins'ke,ru,Родинське,ua,Родинське
T,en,Sergiyivka,ru,Сергiївка,ua,Сергiївка
T,en,Sribne,ru,Срiбне,ua,Срiбне
T,en,Udachne,ru,Удачне,ua,Удачне
T,en,Uljanivka,ru,Улянiвка,ua,Улянiвка
T,en,Uspenivka,ru,Успенiвка,ua,Успенiвка
T,en,Shevchenko,ru,Шевченко,ua,Шевченко
T,en,Drobisheve,ru,Дробишеве,ua,Дробишеве
T,en,Zakitne,ru,Закiтне,ua,Закiтне
T,en,Karpivka,ru,Карпiвка,ua,Карпiвка
T,en,Kirovs'k,ru,Кiровськ,ua,Кiровськ
T,en,Kolodjazi,ru,Колодязi,ua,Колодязi
T,en,Korovij JAr,ru,Коровiй Яр,ua,Коровiй Яр
T,en,Krasnij liman,ru,Красний Лиман,ua,Красний Лиман
T,en,Kriva luka,ru,Крива Лука,ua,Крива Лука
T,en,Lozove,ru,Лозове,ua,Лозове
T,en,Nove,ru,Нове,ua,Нове
T,en,Novoselivka,ru,Новоселiвка,ua,Новоселiвка
T,en,Oleksandrivka,ru,Олександрiвка,ua,Олександрiвка
T,en,Ridkodub,ru,Рiдкодуб,ua,Рiдкодуб
T,en,Rubtsi,ru,Рубцi,ua,Рубцi
T,en,Stavki,ru,Ставки,ua,Ставки
T,en,Starij karavan,ru,Старий Караван,ua,Старий Караван
T,en,Terni,ru,Терни,ua,Терни
T,en,Tors'ke,ru,Торське,ua,Торське
T,en,Shandrigolove,ru,Шандриголове,ua,Шандриголове
T,en,Schurove,ru,Щурове,ua,Щурове
T,en,JAmpil',ru,Ямпiль,ua,Ямпiль
T,en,JArova,ru,Ярова,ua,Ярова
